"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Untranslated Literature,6,0,0,0,0,6,0,0,0
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Untranslated Literature,6,0,0,0,0,2,2,2,0
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Economics,7,0,0,0,3,4,0,0,0
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Mathematical Studies,7,0,0,0,3,0,2,2,0
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Other Languages,6,0,0,1,0,2,3,0,0
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Other Languages,8,0,0,0,2,1,3,2,0
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113918,Sherborne School,Independent School,IBO Standard level component,Untranslated Literature,9,0,0,0,2,4,2,1,0
Dorset,113918,Sherborne School,Independent School,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Mathematical Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Mathematics (Further),6,0,0,2,1,1,2,0,0
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Other Classical Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Other Languages,7,0,0,1,0,5,1,0,0
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113919,Sherborne School for Girls,Independent School,IBO Standard level component,Untranslated Literature,6,0,0,0,0,1,2,3,0
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Untranslated Literature,6,0,0,1,0,1,3,1,0
Dorset,113919,Sherborne School for Girls,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Standard level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Higher level component,Management Studies / Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Standard level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Standard level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Higher level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114656,Buckswood School,Independent School,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Biology,11,0,0,2,4,3,2,0,0
Essex,115395,Felsted School,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Economics,8,0,0,1,2,4,0,1,0
Essex,115395,Felsted School,Independent School,IBO Higher level component,Geography,6,0,0,0,2,0,4,0,0
Essex,115395,Felsted School,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Mathematics (Further),16,0,0,6,4,4,1,1,0
Essex,115395,Felsted School,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Other Languages,10,0,0,0,1,0,3,6,0
Essex,115395,Felsted School,Independent School,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Standard level component,Untranslated Literature,14,0,0,0,1,5,8,0,0
Essex,115395,Felsted School,Independent School,IBO Higher level component,Untranslated Literature,12,0,0,0,1,4,6,1,0
Essex,115395,Felsted School,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Biology,11,0,0,2,1,3,3,2,0
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Chemistry,7,0,1,0,1,4,1,0,0
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Economics,12,0,0,0,1,1,6,4,0
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,History,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Information & Communications Technology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Management Studies / Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Management Studies / Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Mathematical Studies,10,0,0,1,1,7,1,0,0
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Mathematics (Further),17,0,0,0,3,4,2,4,4
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Other Languages,13,0,0,0,1,1,5,5,1
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Physics,6,0,0,0,0,1,2,2,1
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Psychology,7,0,0,0,1,1,3,2,0
Essex,115429,Brentwood School,Independent School,IBO Standard level component,Untranslated Literature,18,0,0,0,4,9,5,0,0
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Untranslated Literature,14,0,0,0,2,5,5,2,0
Essex,115429,Brentwood School,Independent School,IBO Higher level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Biology,8,0,0,0,0,1,2,5,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Biology,11,0,0,0,1,2,6,2,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Chemistry,6,0,0,0,1,1,1,2,1
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Chemistry,11,0,0,0,1,2,1,7,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Economics,9,0,0,0,0,0,6,2,1
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Geography,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,History,13,0,0,0,0,0,7,6,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Logic/ Philosophy,7,0,0,0,0,1,2,4,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Mathematical Studies,14,0,0,0,0,0,7,7,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Mathematics (Further),12,0,0,0,1,2,4,2,3
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Mathematics (Further),8,0,0,0,2,0,4,2,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Other Languages,23,0,0,0,3,3,8,9,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Other Languages,8,0,0,0,0,2,5,1,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Theatre Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Untranslated Literature,18,0,0,0,0,4,11,3,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Higher level component,Untranslated Literature,16,0,0,0,0,0,11,5,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IBO Standard level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IBO Higher level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
