"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Untranslated Literature,15,0,0,0,0,1,8,6,0
Croydon,101837,Whitgift School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Information & Communications Technology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Information & Communications Technology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Management Studies / Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Mathematical Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Other Languages,6,0,0,0,0,2,3,1,0
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Standard level component,Untranslated Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101957,King Fahad Academy,Independent School,IBO Higher level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Biology,10,0,0,0,0,2,1,7,0
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Chemistry,6,0,0,0,0,3,1,2,0
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Classics (General),7,0,0,0,0,0,1,6,0
