"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Staffordshire,124397,Kingsmead School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),8,0,0,3,1,0,0,4
Staffordshire,124403,Clough Hall Technology School,Community School,CACHE Level 3 Extended Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,7,0,0,0,7,0,0,0
Staffordshire,124443,Chase Terrace Technology College,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125787,Princethorpe College,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),15,0,1,5,6,2,0,1
West Sussex,129383,Central Sussex College,General Further Education College,CACHE Level 3 Award in Child Care and Education,Childcare Skills,6,0,2,2,2,0,0,0
West Sussex,129383,Central Sussex College,General Further Education College,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,22,0,6,8,5,3,0,0
West Sussex,129383,Central Sussex College,General Further Education College,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,26,0,8,10,2,4,2,0
West Sussex,129383,Central Sussex College,General Further Education College,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,130407,Hackney Community College,General Further Education College,CACHE Level 3 Extended Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,6,0,0,5,1,0,0,0
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,11,0,2,4,1,3,1,0
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),13,0,0,0,6,3,0,4
Islington,130409,City and Islington College,General Further Education College,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,29,0,2,8,7,8,4,0
Islington,130409,City and Islington College,General Further Education College,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,130411,St Charles Catholic Sixth Form College,Further Education Sector Institution,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,8,0,0,0,1,3,4,0
Lambeth,130413,Lambeth College,Tertiary College,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,130413,Lambeth College,Tertiary College,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,130415,LeSoCo,General Further Education College,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,24,0,2,5,11,2,4,0
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),7,0,0,0,3,2,0,2
