"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,VTCT Level 3 Diploma in Hairdressing Studies (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,City & Guilds Level 3 Diploma in Nail Technology (QCF),Manicure,4,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,City & Guilds Level 3 Award in Body Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Manchester,105571,Newall Green High School,Foundation School,NCFE Level 3 Award in Employability Skills (QCF),Preparation for Work,19,0,0,0,19,0
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Trafford,106376,Blessed Thomas Holford Catholic College,Voluntary Aided School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Trafford,106376,Blessed Thomas Holford Catholic College,Voluntary Aided School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,9,0,0,0,9,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Certificate for Creative iMedia (QCF),Computer Appreciation / Introduction,7,0,0,0,7,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Diploma for Creative iMedia (QCF),Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Award in ICT Systems and Principles for Professionals (PROCOM) (QCF),Systems / Network Management,7,0,0,0,7,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Certificate in ICT Systems and Principles for IT Professionals (PROCOM - Technical) (QCF),Systems / Network Management,6,0,0,0,6,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Certificate In ICT Systems and Principles for Professionals (PROCOM)  (QCF),Systems / Network Management,6,0,0,0,6,0
