"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Sunderland,139538,St Aidan's Catholic Academy,Converter Academy,Key Skill at Level 3,Problem Solving,57,57
Sunderland,139538,St Aidan's Catholic Academy,Converter Academy,Key Skill at Level 3,Teamworking,42,42
Warwickshire,139936,Nicholas Chamberlaine Technology College,Sponsored Academy,Key Skill at Level 3,Learning Skills,5,Supp
Warwickshire,139936,Nicholas Chamberlaine Technology College,Sponsored Academy,Key Skill at Level 3,Problem Solving,5,Supp
Warwickshire,139936,Nicholas Chamberlaine Technology College,Sponsored Academy,Key Skill at Level 3,Teamworking,5,Supp
Hertfordshire,140037,The Thomas Alleyne School,Sponsored Academy,Key Skill at Level 3,Learning Skills,14,14
Hertfordshire,140037,The Thomas Alleyne School,Sponsored Academy,Key Skill at Level 3,Teamworking,9,9
Cheshire East,140108,Alsager School,Converter Academy,Key Skill at Level 3,Teamworking,81,81
Stoke-on-Trent,140149,St Margaret Ward Catholic Academy,Converter Academy,Key Skill at Level 3,Learning Skills,37,37
Stoke-on-Trent,140149,St Margaret Ward Catholic Academy,Converter Academy,Key Skill at Level 3,Teamworking,41,41
