"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Nottinghamshire,137749,Queen Elizabeth's Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Warwickshire,137766,Campion School,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Hertfordshire,137792,Onslow St Audrey's School,Converter Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Redcar and Cleveland,137816,Eston Park Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
Bexley,137965,Blackfen School for Girls,Converter Academy,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
Cheshire East,138002,Knutsford Academy,Converter Academy,BTEC Award Level 3,Sports Coaching,6,6,0
County Durham,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Converter Academy,BTEC Award Level 3,Childcare Skills,14,2,1
Cambridgeshire,138177,Cromwell Community College,Converter Academy,BTEC Award Level 3,Preparation for Work,4,Supp,Supp
Doncaster,138314,Armthorpe Academy,Converter Academy,BTEC Award Level 3,Preparation for Work,4,Supp,Supp
Walsall,138374,West Walsall E-ACT Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,14,0,6
Bournemouth,138385,Leaf Studio,Free School – Studio School,BTEC Award Level 3,Preparation for Work,2,Supp,Supp
Kingston upon Thames,138459,The Holy Cross School,Converter Academy,BTEC Award Level 3,Childcare Skills,10,7,0
West Sussex,138620,Thomas Bennett Community College,Converter Academy,BTEC Award Level 3,Preparation for Work,7,7,0
Norfolk,138670,Easton & Otley College,General Further Education College,BTEC Award Level 3,Preparation for Work,66,66,0
Leicestershire,138819,Belvoir High School and Melton Vale Post 16 Centre,Converter Academy,BTEC Award Level 3,Interactive Video,1,Supp,Supp
Redcar and Cleveland,138845,Nunthorpe Academy,Converter Academy,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
"Bristol, City of",138855,Redland Green School,Converter Academy,BTEC Award Level 3,Three Dimensional Design (3D Design),3,Supp,Supp
