"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Warwickshire,125747,Kenilworth School and Sports College,Foundation School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,125788,King's High School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Barnet,130425,Barnet and Southgate College,General Further Education College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Barnet,130427,Woodhouse College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,6,1,0,0,5,0
Harrow,130443,St Dominic's Sixth Form College,Further Education Sector Institution,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,6,0,0,0,6,0
Birmingham,130469,Cadbury Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
St. Helens,130489,Carmel College,Further Education Sector Institution,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Manchester,130503,Loreto College,Further Education Sector Institution,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Tameside,130516,Tameside College,General Further Education College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Tameside,130518,Ashton Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Wigan,130522,Winstanley College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Rotherham,130530,Thomas Rotherham College,Further Education Sector Institution,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
North Yorkshire,130593,Scarborough Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
York,130594,York College,General Further Education College,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130615,Hills Road Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,Advanced Extension Award,Mathematics,9,0,2,0,6,1
East Sussex,130670,Bexhill College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,7,1,4,0,2,0
Lancashire,130738,Nelson and Colne College,Tertiary College,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Lancashire,130741,Runshaw College,Tertiary College,Advanced Extension Award,Mathematics,15,0,5,0,10,0
Lancashire,130745,Cardinal Newman College,Further Education Sector Institution,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Leicester,130756,Wyggeston and Queen Elizabeth I College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Norfolk,130767,East Norfolk Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Shropshire,130800,Shrewsbury Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Somerset,130805,Yeovil College,Tertiary College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Stoke-on-Trent,130817,City of Stoke-on-Trent Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
